"DAY","TIME","RAIN","HUMN","SNOW","SKY","ONDO","WINDD","WINDS"
22/11/07,"10:00",0,60,0,4,11,7,1
22/11/07,"11:00",0,50,0,3,13,8,0.7
22/11/07,"12:00",0,50,0,3,14,7,1
22/11/07,"13:00",0,45,0,4,15,10,1.7
22/11/07,"14:00",0,45,0,3,15,10,1.9
22/11/07,"15:00",0,45,0,4,15,11,2.1
22/11/07,"16:00",0,50,0,4,15,11,2.1
22/11/07,"17:00",0,55,0,4,14,11,1.3
22/11/07,"18:00",0,65,0,4,13,10,1.3
22/11/07,"19:00",0,70,0,4,12,10,1.3
22/11/07,"20:00",0,75,0,4,12,10,1.4
22/11/07,"21:00",0,80,0,4,12,9,1.6
22/11/07,"22:00",0,80,0,4,12,8,1.1
22/11/08,"10:00",0,80,0,1,11,7,0.7
22/11/08,"11:00",0,75,0,1,12,10,0.6
22/11/08,"12:00",0,65,0,1,14,12,1
22/11/08,"13:00",0,60,0,1,15,12,1.5
22/11/08,"14:00",0,55,0,1,16,13,1.8
22/11/08,"15:00",0,50,0,1,16,13,2
22/11/08,"16:00",0,50,0,1,16,13,1.8
22/11/08,"17:00",0,60,0,1,14,13,1.1
22/11/08,"18:00",0,65,0,1,13,13,1.3
22/11/08,"19:00",0,75,0,1,11,14,0.8
22/11/08,"20:00",0,75,0,1,11,15,0.4
22/11/08,"21:00",0,80,0,1,10,2,0.3
22/11/08,"22:00",0,80,0,1,10,5,0.4
22/11/09,"10:00",0,80,0,3,10,8,0.9
22/11/09,"11:00",0,70,0,1,12,10,1.1
22/11/09,"12:00",0,65,0,1,14,11,1.5
22/11/09,"13:00",0,60,0,1,15,11,1.8
22/11/09,"14:00",0,55,0,1,16,12,2.1
22/11/09,"15:00",0,55,0,1,16,12,2.1
22/11/09,"16:00",0,55,0,3,16,12,2.1
22/11/09,"17:00",0,60,0,3,15,12,1.2
22/11/09,"18:00",0,70,0,3,13,12,1.2
22/11/09,"19:00",0,75,0,3,12,13,0.6
22/11/09,"20:00",0,80,0,1,11,5,0.6
22/11/09,"21:00",0,85,0,3,11,5,1
22/11/09,"22:00",0,85,0,3,11,5,1
