,STATION_NAME,W,GU
0,가락시장,2559.875,송파구
1,가산디지털단지,3064.2969748017126,금천구
2,강남,7786.252105558675,강남구
3,강남구청,1422.4832959011792,강남구
4,강동,1514.3370297585625,강동구
5,강동구청,1017.2338036077771,강동구
6,강변,3681.9981049971925,광진구
7,개롱,670.4108646827625,송파구
8,개화산,649.8700168444694,강서구
9,거여,671.4826642335767,송파구
10,건대입구,5229.591591802358,광진구
11,경복궁,2179.6785513756317,종로구
12,경찰병원,865.0296883773161,송파구
13,고덕,894.7000280741157,강동구
14,고려대,780.0035092644582,성북구
15,고속터미널,6256.445676586188,서초구
16,공덕,2808.2855137563165,마포구
17,공릉,1164.405109489051,노원구
18,광나루,1296.9187254351489,광진구
19,광화문,2593.7459292532285,종로구
20,광흥창,822.5371982032566,마포구
21,교대,4213.713784390791,서초구
22,구로디지털단지,5052.238840539023,구로구
23,구산,726.9934025828186,은평구
24,구의,2163.557130825379,광진구
25,구파발,2185.2639668725437,은평구
26,군자,2347.189851207187,광진구
27,굽은다리,954.5379000561483,강동구
28,금호,965.4941044357103,성동구
29,길동,755.5448483997754,강동구
30,길음,1785.7035373385738,성북구
31,김포공항,862.1228944413251,강서구
32,까치산,2421.1487928130264,강서구
33,낙성대,2524.132369455362,관악구
34,남구로,1515.053976275707,구로구
35,남부터미널,2706.3279758562603,서초구
36,남성,973.7686692869174,동작구
37,남태령,390.62928130263896,서초구
38,내방,1169.5769932622122,서초구
39,노원,4120.928340819764,노원구
40,녹번,1270.120297585626,은평구
41,녹사평,775.1940623245367,용산구
42,논현,1605.71392476137,강남구
43,답십리,1412.9417462099943,성동구
44,당고개,1141.2893037619315,노원구
45,당산,1950.7716872543515,영등포구
46,대림,4021.48154126895,구로구
47,대청,1010.0553761931499,강남구
48,대치,1237.3508562605277,강남구
49,대흥,838.3768248175182,마포구
50,도곡,538.156793935991,강남구
51,도림천,517.3480488489613,구로구
52,도봉산,955.0581134194273,도봉구
53,독립문,948.7410162829871,서대문구
54,독바위,401.7956204379562,은평구
55,돌곶이,838.6738489612577,성북구
56,동대문,3454.2398231330712,종로구
57,동대문역사문화공원,3390.7962936964764,중구
58,동대입구,976.1436192615471,중구
59,동묘앞,3024.5990314430096,종로구
60,동작,494.53747894441324,동작구
61,둔촌동,814.2622824256036,강동구
62,디지털미디어시티,1100.232734418866,은평구
63,뚝섬,1749.7792672655812,성동구
64,뚝섬유원지,940.528354856822,광진구
65,마곡,760.1519511510387,강서구
66,마들,1032.4211117349803,노원구
67,마장,702.0998736664795,성동구
68,마천,617.0629562043796,송파구
69,마포,1247.9766282987086,마포구
70,마포구청,1243.2019932622122,마포구
71,망원,1506.0442869174622,마포구
72,매봉,971.2012212240314,강남구
73,먹골,933.8381527231892,중랑구
74,면목,1420.6040847838294,중랑구
75,명동,2425.4768356029763,중구
76,명일,835.4174620999438,강동구
77,목동,1667.505193711398,양천구
78,몽촌토성,1529.1857233101705,송파구
79,무악재,679.9413250982594,서대문구
80,문래,2093.9908759124087,영등포구
81,문정,2090.259633607075,송파구
82,미아,1441.5281443009544,강북구
83,미아사거리,2548.9723469960695,강북구
84,반포,666.7455081414936,서초구
85,발산,1682.404688377316,강서구
86,방배,1735.7083099382369,서초구
